French,English
histoire,history
seulement,only
police,police
pensais,thought
aide,help
frère,brother
laisser,let
car,because
mettre,to put
aucun,no
laisse,leash
parlé,speak
devrait,should
bébé,baby
longtemps,long time
heures,hours
vont,will
pendant,while
aucune,any
étaient,were
attention,Warning
voici,here is
pourrais,could
donner,give
type,type
leurs,their
donné,given
corps,body
façon,way
écoute,listen
dont,whose
trouve,find
premier,first
perdu,lost
main,hand
première,first
pouvoir,power
vieux,old
sois,be
tellement,so much
enfant,child
point,point
venu,came
pardon,sorry
venez,come
devant,in front of
minutes,minutes
chambre,bedroom
belle,beautiful
droit,law
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
espère,hope
eau,water
attendez,Wait
parti,left
nouvelle,new
boulot,job
arrêter,Stop
dirait,would say
terre,Earth
compte,account
donne,given
chérie,sweetheart
gros,large
plutôt,rather
filles,girls
jouer,to play
bureau,office
